# Target Sample Rate: 100 Hz,,,,
# Max Device Sample Rate: 400 Hz,,,,
# Recording started at: 2026-02-07 14:16:38.835,,,,
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.698397,3.9343,2.869,-4.5379,6.66
4.705036,4.2969,2.9908,-4.3825,6.83
4.714974,4.4846,3.0146,-3.8813,6.65
4.725663,4.4235,2.7549,-2.9566,5.99
4.735205,4.1778,2.1491,-2.0241,5.12
4.748193,3.6176,1.5202,-0.5695,3.97
4.755663,2.5857,0.7961,1.2643,2.99
4.765427,1.2965,-0.3126,3.7173,3.95
4.781471,-0.3211,-2.0401,6.1468,6.48
4.785489,-2.8137,-4.4965,7.37,9.08
4.798227,-5.5134,-6.7601,8.5793,12.24
4.80592,-6.9721,-7.3898,10.1153,14.34
4.815792,-6.1893,-5.4162,9.2251,12.36
4.8316,-4.3824,-2.7285,5.0624,7.23
4.835899,-2.4937,-0.608,1.397,2.92
4.848326,-0.4314,1.1468,-0.0907,1.23
4.856383,1.5771,2.64,0.0915,3.08
4.866188,3.2283,2.7093,0.0256,4.21
4.881486,3.4233,0.1937,-0.6672,3.49
4.886237,2.5477,-2.9783,-1.9541,4.38
4.898608,1.8211,-6.6983,-3.3868,7.72
4.906662,1.5881,-10.4197,-4.8269,11.59
4.916604,1.0974,-11.4742,-4.1998,12.27
4.93156,0.0847,-9.0227,-1.884,9.22
4.936751,-0.8199,-2.8998,2.6344,4
4.94786,-0.2623,3.5573,4.4042,5.67
4.957087,2.095,6.6801,-0.6735,7.03
4.967007,4.4425,7.2486,-3.8162,9.32
4.981681,5.7409,6.185,-5.1158,9.87
4.986967,5.6984,5.3595,-5.4473,9.53
4.998152,5.2069,4.5851,-4.991,8.55
5.007658,4.6751,2.6509,-3.5885,6.46
5.017443,3.329,-0.6508,-1.8169,3.85
5.03174,0.7938,-3.5343,-1.2592,3.83
5.03816,-1.5986,-5.4167,-1.5549,5.86
5.04839,-3.5869,-5.5642,-1.2125,6.73
5.057874,-4.723,-3.3912,-0.3612,5.83
5.067644,-4.765,-0.5918,-0.27,4.81
5.081836,-3.9686,1.3769,-1.3435,4.41
5.087954,-2.936,2.3491,-2.5369,4.54
5.098356,-2.2017,2.639,-2.9972,4.56
5.108227,-1.3787,2.3422,-2.7834,3.89
5.118012,-0.2842,1.1373,-1.9522,2.28
5.132494,0.4197,0.0943,-0.6086,0.75
5.138992,0.858,-0.3159,0.9338,1.31
5.149842,1.0875,-0.1077,1.5647,1.91
5.16113,1.3037,0.2353,1.0469,1.69
5.168383,1.383,0.5384,-0.0891,1.49
5.183831,1.5389,0.4836,-0.9845,1.89
5.188235,1.5929,0.2639,-1.5563,2.24
5.200478,1.5165,-0.1336,-1.6276,2.23
5.209202,1.2137,-0.4754,-1.317,1.85
5.218747,0.4698,-0.1939,-1.1268,1.24
5.23416,-0.3827,0.1295,-0.977,1.06
5.251353,-1.2959,0.5424,-0.6248,1.54
5.268559,-1.196,0.4781,-0.2113,1.31
5.269501,-0.6759,0.3858,0.1111,0.79
5.285405,-0.2456,0.0867,0.6224,0.67
5.289473,0.3014,-0.0428,0.7283,0.79
5.302,0.6134,-0.1924,0.6507,0.91
5.318694,0.9886,0.0451,0.7031,1.21
5.319512,0.8652,0.2385,0.8703,1.25
5.334987,0.5623,0.1035,1.5511,1.65
5.339862,-0.071,0.1597,2.266,2.27
5.35183,-0.5723,0.1352,2.8431,2.9
5.368197,-0.7827,0.0389,3.2952,3.39
5.369769,-0.7142,-0.3172,3.2167,3.31
5.384224,-0.2128,-0.5366,2.4877,2.55
